Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
15-10-2015,2015,10,15,†,19.5,,,M,,M,,M,,M,1.2,,0,,1.2,,0,,,,,
16-10-2015,2015,10,16,†,15,,4.5,,9.8,,8.2,,0,,0,,0,,0,,0,,,,,
17-10-2015,2015,10,17,†,9,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
18-10-2015,2015,10,18,,,,,,,,,,,,,,,,,,,,,,,
19-10-2015,2015,10,19,,,,,,,,,,,,,,,,,,,,,,,
20-10-2015,2015,10,20,†,22,,12.5,,17.3,,0.7,,0,,0,T,0,,0,T,0,,,,,
21-10-2015,2015,10,21,†,21.5,,12,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
22-10-2015,2015,10,22,†,19.5,,14,,16.8,,1.2,,0,,0,,0,,0,,0,,,,,
23-10-2015,2015,10,23,,,,,,,,,,,,,,,,,,,,,,,
24-10-2015,2015,10,24,†,20,,10,,15,,3,,0,,4.2,,0,,4.2,,0,,,,,
25-10-2015,2015,10,25,†,16,,9,,12.5,,5.5,,0,,0,,0,,0,,0,,,,,
26-10-2015,2015,10,26,†,15.5,,2,,8.8,,9.2,,0,,0,,0,,0,,0,,,,,
27-10-2015,2015,10,27,,,,,,,,,,,,,,,,,,,,,,,
28-10-2015,2015,10,28,†,16,,10,,13,,5,,0,,1.8,,0,,1.8,,0,,,,,
29-10-2015,2015,10,29,,,,,,,,,,,,,,,,,,,,,,,
30-10-2015,2015,10,30,,,,,,,,,,,,,,,,,,,,,,,
31-10-2015,2015,10,31,,,,,,,,,,,,,,,,,,,,,,,
01-11-2015,2015,11,1,,,,,,,,,,,,,,,,,,,,,,,
02-11-2015,2015,11,2,,,,,,,,,,,,,,,,,,,,,,,
03-11-2015,2015,11,3,†,22,,6.5,,14.3,,3.7,,0,,0,,0,,0,,0,,,,,
04-11-2015,2015,11,4,†,23,,5,,14,,4,,0,,0,,0,,0,,0,,,,,
05-11-2015,2015,11,5,†,22,,11,,16.5,,1.5,,0,,6.6,,0,,6.6,,0,,,,,
06-11-2015,2015,11,6,†,18,,12,,15,,3,,0,,1,,0,,1,,0,,,,,
07-11-2015,2015,11,7,†,12.5,,7,,9.8,,8.2,,0,,1,,0,,1,,0,,,,,
08-11-2015,2015,11,8,,,,,,,,,,,,,,,,,,,,,,,
09-11-2015,2015,11,9,†,14.5,,-1.5,,6.5,,11.5,,0,,12.2,,0,,12.2,,0,,,,,
10-11-2015,2015,11,10,,,,,,,,,,,,,,,,,,,,,,,
11-11-2015,2015,11,11,,,,,,,,,,,,,,,,,,,,,,,
12-11-2015,2015,11,12,†,10.5,,7.5,,9,,9,,0,,3.2,,0,,3.2,,0,,,,,
13-11-2015,2015,11,13,,,,,,,,,,,,,,,,,,,,,,,
14-11-2015,2015,11,14,,,,,,,,,,,,,,,,,,,,,,,
15-11-2015,2015,11,15,†,17,,5,,11,,7,,0,,0,,0,,0,,0,,,,,
16-11-2015,2015,11,16,,,,,,,,,,,,,,,,,,,,,,,
17-11-2015,2015,11,17,,,,,,,,,,,,,,,,,,,,,,,
18-11-2015,2015,11,18,†,16,,12,,14,,4,,0,,11.6,,0,,11.6,,0,,,,,
19-11-2015,2015,11,19,†,14.5,,7,,10.8,,7.2,,0,,0,,0,,0,,0,,,,,
20-11-2015,2015,11,20,,,,,,,,,,,,,,,,,,,,,,,
21-11-2015,2015,11,21,†,2,,-0.5,,0.8,,17.2,,0,,1.6,,10,,11.6,,0,T,,,,
22-11-2015,2015,11,22,†,1.5,,-4,,-1.3,,19.3,,0,,0,,0,,0,,7,,,,,
23-11-2015,2015,11,23,,,,,,,,,,,,,,,,,,,,,,,
24-11-2015,2015,11,24,,,,,,,,,,,,,,,,,,,,,,,
25-11-2015,2015,11,25,,,,,,,,,,,,,,,,,,,,,,,
26-11-2015,2015,11,26,,,,,,,,,,,,,,,,,,,,,,,
27-11-2015,2015,11,27,†,12,,3.5,,7.8,,10.2,,0,,11.6,,0,,11.6,,0,,,,,
28-11-2015,2015,11,28,,,,,,,,,,,,,,,,,,,,,,,
29-11-2015,2015,11,29,†,4.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
30-11-2015,2015,11,30,,,,,,,,,,,,,,,,,,,,,,,
01-12-2015,2015,12,1,,,,,,,,,,,,,,,,,,,,,,,
02-12-2015,2015,12,2,†,7.5,,-4,,1.8,,16.2,,0,,4,,0,T,4,,0,,,,,
03-12-2015,2015,12,3,,,,,,,,,,,,,,,,,,,,,,,
04-12-2015,2015,12,4,†,6.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
05-12-2015,2015,12,5,,,,,,,,,,,,,,,,,,,,,,,
06-12-2015,2015,12,6,,,,,,,,,,,,,,,,,,,,,,,
07-12-2015,2015,12,7,†,3,,-2.5,,0.3,,17.7,,0,,0,,0,,0,,0,,,,,
08-12-2015,2015,12,8,,,,,,,,,,,,,,,,,,,,,,,
09-12-2015,2015,12,9,,,,,,,,,,,,,,,,,,,,,,,
10-12-2015,2015,12,10,,,,,,,,,,,,,,,,,,,,,,,
11-12-2015,2015,12,11,†,13,,5.5,,9.3,,8.7,,0,,0,,0,,0,,0,,,,,
12-12-2015,2015,12,12,†,16,,7,,11.5,,6.5,,0,,0.6,,0,,0.6,,0,,,,,
13-12-2015,2015,12,13,†,15,,11,,13,,5,,0,,0,T,0,,0,T,0,,,,,
14-12-2015,2015,12,14,,,,,,,,,,,,,,,,,,,,,,,
15-12-2015,2015,12,15,,,,,,,,,,,,,,,,,,,,,,,
16-12-2015,2015,12,16,,,,,,,,,,,,,,,,,,,,,,,
17-12-2015,2015,12,17,†,10.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
18-12-2015,2015,12,18,,,,,,,,,,,,,,,,,,,,,,,
19-12-2015,2015,12,19,†,3,,-4,,-0.5,,18.5,,0,,0,,0,,0,,0,T,,,,
20-12-2015,2015,12,20,†,5.5,,-5,,0.3,,17.7,,0,,7,,0,,7,,0,,,,,
21-12-2015,2015,12,21,,,,,,,,,,,,,,,,,,,,,,,
22-12-2015,2015,12,22,†,11.5,,4,,7.8,,10.2,,0,,0,,0,,0,,0,,,,,
23-12-2015,2015,12,23,†,15.5,,1,,8.3,,9.7,,0,,10.4,,0,,10.4,,0,,,,,
24-12-2015,2015,12,24,,,,,,,,,,,,,,,,,,,,,,,
25-12-2015,2015,12,25,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
26-12-2015,2015,12,26,†,9.5,,,M,,M,,M,,M,18.4,,0,,18.4,,0,,,,,
27-12-2015,2015,12,27,,,,,,,,,,,,,,,,,,,,,,,
28-12-2015,2015,12,28,,,,,,,,,,,,,,,,,,,,,,,
29-12-2015,2015,12,29,†,6.5,,-2,,2.3,,15.7,,0,,0,,0,,0,,0,,,,,
30-12-2015,2015,12,30,,,,,,,,,,,,,,,,,,,,,,,
31-12-2015,2015,12,31,,,,,,,,,,,,,,,,,,,,,,,
